name,N,J,noise,periodic,beta,gamma,mean_degree,r_mean,alpha,Tc,participation_fraction,avg_internal_degree,n_components,largest_component_fraction
SD,500,1.0,1e-10,False,4.810000000000002,6.01,20,0.5508557793945961,1.5794156027834334,30.46614259350506,0.0854594321380429,20.28,1,1.0
SD,500,1.0,1e-10,False,4.810000000000002,6.01,20,0.5524974130805158,1.5925113513052374,33.42821266941688,0.1590125368544477,17.68,1,1.0
SD,500,1.0,1e-10,False,4.810000000000002,6.01,20,0.5119877238037596,1.623980373492411,32.45766994191611,0.0732908843286921,23.96,1,1.0
SD,500,1.0,1e-10,False,5.0100000000000025,6.01,20,0.526565050101178,1.6038449064226077,39.711645488808415,0.085130503702721,25.28,1,1.0
SD,500,1.0,1e-10,False,5.0100000000000025,6.01,20,0.5138659778106762,1.603731049011517,25.507542515793375,0.0725269201462265,20.48,1,1.0
SD,500,1.0,1e-10,False,5.0100000000000025,6.01,20,0.5473765935952446,1.5903887414783706,33.1176453409498,0.1044970292261816,21.92,1,1.0
SD,500,1.0,1e-10,False,5.0100000000000025,6.01,20,0.5174243188252994,1.5811335257377517,30.107770112912945,0.1140537112143581,21.36,1,1.0
SD,500,1.0,1e-10,False,5.210000000000003,6.01,20,0.4936463370579806,1.597153251588381,34.85345527722683,0.0831153588176317,23.0,1,1.0
SD,500,1.0,1e-10,False,5.210000000000003,6.01,20,0.5069524909695173,1.6005283656619644,38.46412818197009,0.0961132524276302,24.16,1,1.0
SD,500,1.0,1e-10,False,5.210000000000003,6.01,20,0.5236974403775468,1.5978334077573575,35.34258077559553,0.0755907599728294,22.44,1,1.0
SD,500,1.0,1e-10,False,5.210000000000003,6.01,20,0.5156699648688996,1.5853570456073105,31.941416948990828,0.0924773349886524,21.64,1,1.0
SD,500,1.0,1e-10,False,5.410000000000003,6.01,20,0.5129927233081352,1.596551346010204,36.33366819350789,0.0798189163883895,23.72,1,1.0
SD,500,1.0,1e-10,False,5.410000000000003,6.01,20,0.5151940639198354,1.604059347590085,40.329908506168614,0.0916431510071988,24.68,1,1.0
SD,500,1.0,1e-10,False,5.410000000000003,6.01,20,0.5399551997382379,1.6000681156200822,37.17411154524213,0.0913398264818479,24.08,1,1.0
SD,500,1.0,1e-10,False,5.410000000000003,6.01,20,0.498608729943329,1.5888054062009636,32.80730926085732,0.0813700514695451,22.56,1,1.0
SD,500,1.0,1e-10,False,5.610000000000003,6.01,20,0.5113293162414101,1.5914520821040756,32.14716651325291,0.0972722686369238,21.32,1,1.0
SD,500,1.0,1e-10,False,5.610000000000003,6.01,20,0.5309717910164465,1.605548651024355,31.16737839449076,0.0722162490111241,22.2,1,1.0
SD,500,1.0,1e-10,False,5.610000000000003,6.01,20,0.5203616848932016,1.6011838328078885,39.11569025757884,0.0839905573720376,25.56,1,1.0
SD,500,1.0,1e-10,False,5.610000000000003,6.01,20,0.5307617765542975,2.429668215804173,7.929693786112027,0.111874493552062,18.68,1,1.0
SD,500,1.0,1e-10,False,5.810000000000003,6.01,20,0.5252588911129648,1.595830451355441,36.3894556948662,0.083388366269146,24.48,1,1.0
SD,500,1.0,1e-10,False,5.810000000000003,6.01,20,0.5010902183617059,1.6024833265350362,31.25186144063308,0.0836979567703475,23.28,1,1.0
SD,500,1.0,1e-10,False,5.810000000000003,6.01,20,0.5014492648654784,1.6400584856872704,25.13226408797951,0.0731255334319325,21.0,1,1.0
SD,500,1.0,1e-10,False,5.810000000000003,6.01,20,0.516482231724247,1.5843596032916154,30.941164905227826,0.1082448275131805,19.92,1,1.0
SD,500,1.0,1e-10,False,6.010000000000003,6.01,20,0.5164633036170766,1.6109570150706771,49.521586454245075,0.0958532655485143,31.68,1,1.0
SD,500,1.0,1e-10,False,6.010000000000003,6.01,20,0.508494242078275,1.6012647011983487,39.15012743303107,0.0784590714888843,25.72,1,1.0
SD,500,1.0,1e-10,False,6.010000000000003,6.01,20,0.51346844139866,1.592705787274797,35.39424889593476,0.0882116735484693,23.68,1,1.0
SD,500,1.0,1e-10,False,6.010000000000003,6.01,20,0.5242288482561249,1.60143651236304,38.21064023920229,0.0760490620993747,24.72,1,1.0
SD,500,1.0,1e-10,False,6.2100000000000035,6.01,20,0.5019693915244094,1.6057139192123424,41.86534302599808,0.0986610105690255,25.92,1,1.0
SD,500,1.0,1e-10,False,6.2100000000000035,6.01,20,0.5270166907678632,1.5806701591378054,30.921602835789816,0.0997412881453058,21.24,1,1.0
SD,500,1.0,1e-10,False,6.2100000000000035,6.01,20,0.5333795231313102,1.6071502018559591,28.386028112647388,0.1108831903882901,20.96,1,1.0
SD,500,1.0,1e-10,False,6.2100000000000035,6.01,20,0.5110456237811656,1.6072542505825678,44.309906103533194,0.0951287877544116,29.12,1,1.0
SD,500,1.0,1e-10,False,6.410000000000004,6.01,20,0.5100376013344201,1.5981477519006226,37.731023007833976,0.078919559331034,25.72,1,1.0
SD,500,1.0,1e-10,False,6.410000000000004,6.01,20,0.5530863206687072,1.590504501395317,34.20579371976332,0.1020772279817436,23.8,1,1.0
SD,500,1.0,1e-10,False,6.410000000000004,6.01,20,0.517197553227216,1.5858994893594118,32.244267384848776,0.0793222066540165,21.8,1,1.0
